,JobTitle,Year,TotalPay,TotalPay,TotalPay,TotalPay,TotalPay,TotalPay,TotalPay
938,Contract Compliance Officer 1,2012,2345588.47,2463.25,95140.59,75664.14419354839,28346.535132705936,90610.01,86121.02
939,Contract Compliance Officer 1,2013,2651692.96,5368.51,101769.21,91437.68827586206,17109.2123677198,96923.01,96832.81
940,Contract Compliance Officer 1,2014,2819530.68,4280.38,96952.02,78320.29666666668,28333.37721960041,95912.03,93091.61499999999
941,Contract Compliance Officer 2,2012,1725707.46,1755.38,123178.05,107856.71625,29070.422081065804,118689.99,118689.91500000001
942,Contract Compliance Officer 2,2013,1679740.95,3658.45,131630.03,104983.809375,43663.092609086605,126937.01,126937.01
943,Contract Compliance Officer 2,2014,1784399.0,16378.29,126738.05,111524.9375,28283.23927893279,125698.04,125698.005
944,Controller,2012,255696.73,255696.73,255696.73,255696.73,,255696.73,255696.73
945,Controller,2013,270641.53,270641.53,270641.53,270641.53,,270641.53,270641.53
946,Controller,2014,267914.0,267914.0,267914.0,267914.0,,267914.0,267914.0
947,Conversion,2014,3361.44,3361.44,3361.44,3361.44,,3361.44,3361.44
948,Cook,2012,1437728.47,1109.52,86748.36,42286.13147058823,27216.46784444915,1109.52,54946.835
949,Cook,2013,1491869.58,0.0,82655.76,49728.986000000004,28783.463311805368,0.0,67007.66
950,Cook,2014,1545479.71,2028.16,84493.31,48296.2409375,29726.397194562825,2028.16,67329.78
951,Coord of Citizen Involvement,2012,873953.56,73513.74,104712.01,97105.95111111112,12006.543635576852,73513.74,103871.36
952,Coord of Citizen Involvement,2013,854732.51,84121.52,114131.93,106841.56375,9786.683557293458,84121.52,110453.66500000001
953,Coord of Citizen Involvement,2014,656518.5,16929.6,112662.69,93788.35714285714,35389.543924346595,16929.6,110317.51
954,"Coord, Human Rights Comm",2012,302312.99,100770.99,100771.0,100770.99666666666,0.005773502688871699,100771.0,100771.0
955,"Coord, Human Rights Comm",2013,375202.41,29209.8,107703.0,75040.48199999999,39295.82376148794,107703.0,94894.83
956,"Coord, Human Rights Comm",2014,301031.06,11508.0,107980.03,75257.765,45255.41798871858,11508.0,90771.515
957,Counselor 2,2012,224672.19,59072.49,98983.26,74890.73,21202.954906128067,59072.49,66616.44
958,Counselor 2,2013,302582.5,85045.56,120898.43,100860.83333333333,18295.575491293883,85045.56,96638.51
959,Counselor 2,2014,155028.51,76697.88,78330.63,77514.255,1154.5285969823356,76697.88,77514.255
960,"Counselor, Family Court Svc",2012,620531.83,50563.52,106228.64,88647.40428571428,22326.823964369145,50563.52,104305.53
961,"Counselor, Family Court Svc",2013,784314.46,65324.45,119870.13,98039.3075,23338.10371859092,65324.45,104663.73000000001
962,"Counselor, Juvenile Hall",2012,4990564.37,574.67,93014.87,40246.48685483871,30089.802106873558,574.67,30249.205
963,"Counselor, Juvenile Hall",2013,5084012.75,0.0,124248.6,47074.19212962963,37263.33377867584,0.0,44979.729999999996
964,"Counselor, Juvenile Hall",2014,4550064.63,156.16,111513.45,52299.59344827586,35104.223659894946,156.16,66694.38
965,"Counselor, Juvenile Hall SFERS",2012,56512.880000000005,411.6,22435.16,8073.268571428572,9357.449018549212,411.6,3029.88
966,"Counselor, Juvenile Hall SFERS",2013,486551.49,827.82,43189.74,24327.5745,15375.788250712283,827.82,28581.555
967,"Counselor, Juvenile Hall SFERS",2014,797519.7,1293.47,94604.39,29537.766666666666,29111.180546077136,1293.47,16472.61
968,"Counselor, Log Cabin Ranch",2012,1250669.1300000001,13207.75,103168.27,59555.67285714286,31257.799720525625,13207.75,69256.41
969,"Counselor, Log Cabin Ranch",2013,1309788.91,234.79,118763.64,59535.85954545454,40160.035356865075,234.79,75088.055
970,"Counselor, Log Cabin Ranch",2014,1264625.05,-618.13,126273.71,63231.2525,40813.88613382536,-618.13,78375.905
971,"Counselor,Log Cabin Rnch SFERS",2012,29582.14,3824.93,21622.25,9860.713333333333,10186.96903996637,3824.93,4134.96
972,"Counselor,Log Cabin Rnch SFERS",2013,82387.31,2942.62,29690.07,16477.462,9875.07630726315,2942.62,18098.03
973,"Counselor,Log Cabin Rnch SFERS",2014,172281.35,914.84,68997.11,21535.16875,22443.316174519332,914.84,17279.605
974,Court Administrative Secretary,2012,153100.22,76550.08,76550.14,76550.11,0.04242640686954649,76550.08,76550.11
975,Court Administrative Secretary,2013,186604.06,91384.53,95219.53,93302.03,2711.7545058504097,91384.53,93302.03
976,Court Administrator,2012,215344.86,81589.86,133755.0,107672.43,36886.32423554561,81589.86,107672.43
977,Court Administrator,2013,249522.76,98332.63,151190.13,124761.38,37375.89668656793,98332.63,124761.38
978,Court Alternative Specialist 1,2012,246513.6,50849.01,65581.5,61628.4,7202.345820730904,50849.01,65041.545
979,Court Alternative Specialist 1,2013,201722.83,61991.82,69865.51,67240.94333333333,4545.874154267068,61991.82,69865.5
980,Court Alternative Specialist 1,2014,200691.86,62293.82,69199.03,66897.28666666667,3986.7190788207363,62293.82,69199.01
981,"Court Asst-Sr, Superior Court",2012,98736.22,15432.21,83304.01,49368.11,47992.61003133711,15432.21,49368.11
982,"Court Asst-Sr, Superior Court",2013,94862.84,94862.84,94862.84,94862.84,,94862.84,94862.84
983,"Court Asst., Superior Court",2012,79234.96,79234.96,79234.96,79234.96,,79234.96,79234.96
984,"Court Asst., Superior Court",2013,14087.34,14087.34,14087.34,14087.34,,14087.34,14087.34
985,Court Clerk,2012,81315.61,81315.61,81315.61,81315.61,,81315.61,81315.61
986,Court Clerk,2013,87507.08,87507.08,87507.08,87507.08,,87507.08,87507.08
987,Court Clerk,2014,52601.13,52601.13,52601.13,52601.13,,52601.13,52601.13
988,Court Commissioner,2012,240255.90000000002,17759.05,151387.92,48051.18000000001,57947.94661695227,17759.05,23581.69
989,Court Commissioner,2013,198133.58,17577.12,157211.28,66044.52666666666,79005.38155117366,17577.12,23345.18
990,Court Computer Sys Manager,2012,423324.0,141108.0,141108.0,141108.0,0.0,141108.0,141108.0
991,Court Computer Sys Manager,2013,474784.55,158261.5,158261.53,158261.51666666666,0.01527525232121919,158261.5,158261.52
992,Court Executive Officer,2012,185054.8,185054.8,185054.8,185054.8,,185054.8,185054.8
993,Court Executive Officer,2013,218464.09,218464.09,218464.09,218464.09,,218464.09,218464.09
994,Court Interpreter,2012,1000336.07,1659.79,74080.41,58843.29823529412,19287.7763986285,1659.79,62735.24
995,Court Interpreter,2013,1031745.36,36125.76,76587.41,64484.085,12776.548121086533,36125.76,69265.515
996,Court Interpreter Supervisor,2012,102245.5,102245.5,102245.5,102245.5,,102245.5,102245.5
997,Court Interpreter Supervisor,2013,100285.68,100285.68,100285.68,100285.68,,100285.68,100285.68
998,"Court Invstgtor, Superior Crt",2012,485497.98000000004,24364.95,100813.46,80916.33,31389.1251828349,24364.95,99080.48000000001
999,"Court Invstgtor, Superior Crt",2013,595712.24,32349.22,114395.0,99285.37333333334,32804.0398461474,32349.22,112286.57
1000,Court Manager,2012,802858.8,109678.84,115530.01,114694.1142857143,2211.52808618729,115530.0,115530.0
1001,Court Manager,2013,1127325.54,85984.73,131136.09,125258.39333333334,14747.004667701165,130201.68,130201.68
1002,Court Paralegal,2012,86690.64,4158.01,36111.83,21672.66,15234.12781713698,4158.01,23210.4
1003,Court Paralegal,2013,164431.41,81765.1,82666.31,82215.705,637.2517022731228,81765.1,82215.705
1004,Court Reporter,2012,3997182.88,424.6,118880.31,75418.54490566037,48279.53001362172,118880.3,108065.2
1005,Court Reporter,2013,4484146.47,4319.65,134100.44,86233.58596153845,50227.70084890179,126126.71,119877.485
1006,Court Reporter Coordinator,2012,127381.5,127381.5,127381.5,127381.5,,127381.5,127381.5
1007,Court Reporter Coordinator,2013,144228.56,144228.56,144228.56,144228.56,,144228.56,144228.56
1008,Court Staff Attorney II,2012,832846.17,29895.85,136637.0,104105.77125,34070.53233710472,118673.92,117293.65
1009,Court Staff Attorney II,2013,1102615.79,4373.35,130849.68,91884.64916666667,51072.41909390296,4373.35,126746.92499999999
1010,Court Supervisor I,2012,84749.89,84749.89,84749.89,84749.89,,84749.89,84749.89
1011,Court Supervisor II,2012,1897543.73,20165.84,102245.54,90359.22523809524,24271.569313133958,102245.51,102245.5
1012,Court Supervisor II,2013,1861101.88,1034.25,116487.27,97952.73052631579,38822.73637970217,116487.26,115659.87
1013,Court Training Specialist,2012,283129.62,94072.61,94528.51,94376.54,263.2111010196993,94072.61,94528.5
1014,Court Training Specialist,2013,321337.0,0.0,107523.33,80334.25,53557.53223056305,0.0,106906.83499999999
1015,Crafts Instructor,2012,333372.97,8950.24,56490.1,37041.44111111111,17302.930720868106,8950.24,40156.79
1016,Crafts Instructor,2013,342167.8,8371.65,59969.27,38018.64444444444,18428.84759716279,8371.65,36946.65
1017,Crafts Instructor,2014,303663.68,13895.6,59782.39,37957.96,19445.89189100288,13895.6,35329.925
1018,Crane Mechanic Supervisor,2012,109023.8,109023.8,109023.8,109023.8,,109023.8,109023.8
1019,Crane Mechanic Supervisor,2013,121244.4,121244.4,121244.4,121244.4,,121244.4,121244.4
1020,Crane Mechanic Supervisor,2014,127057.87,127057.87,127057.87,127057.87,,127057.87,127057.87
1021,Crime Lab Mgr,2012,140449.0,140449.0,140449.0,140449.0,,140449.0,140449.0
1022,Crime Lab Mgr,2013,113213.88,113213.88,113213.88,113213.88,,113213.88,113213.88
1023,Criminal Justice Specialist 2,2012,465102.9,61975.8,88370.0,77517.15000000001,9873.371834535552,73931.0,76688.05
1024,Criminal Justice Specialist 2,2013,480461.57,37409.55,94500.0,80076.92833333333,21482.00939692599,37409.55,86104.45999999999
1025,Criminal Justice Specialist 2,2014,474894.2,21915.0,93886.0,79149.03333333334,28224.70028933286,86660.6,89773.3
1026,Criminalist I,2012,197168.31,65088.91,66575.2,65722.77,766.8729521244038,65088.91,65504.2
1027,Criminalist I,2013,222605.62,73597.71,74833.66,74201.87333333334,618.4378602845493,73597.71,74174.25
1028,Criminalist I,2014,232708.76,76770.72,77983.17,77569.58666666667,691.98351557918,76770.72,77954.87
1029,Criminalist II,2012,1525360.9,14856.0,115646.8,89727.11176470587,26310.567107036863,14856.0,93007.87
1030,Criminalist II,2013,1639240.37,100815.74,119481.55,109282.69133333334,5270.423169788266,100815.74,110434.39
1031,Criminalist II,2014,1536684.73,104727.83,116279.27,109763.19499999999,3644.5226735741635,104727.83,109742.91
1032,Criminalist III,2012,394765.17,127019.0,139242.75,131588.38999999998,6670.292043179212,127019.0,128503.42
1033,Criminalist III,2013,541525.7,115210.95,142473.38,135381.425,13450.127089249623,115210.95,141920.685
1034,Criminalist III,2014,658695.98,35297.56,137749.01,109782.66333333333,37274.42991757951,35297.56,119973.11
1035,Ct Comp App Analyst,2012,205197.32,100371.82,104825.5,102598.66,3149.227329234898,100371.82,102598.66
1036,Ct Comp App Analyst,2013,230063.85,111586.07,118477.78,115031.925,4873.174874971136,111586.07,115031.925
1037,Ct Comp App Programmer,2012,343329.43,112298.41,115515.52,114443.14333333333,1857.3935510368678,112298.41,115515.5
1038,Ct Comp App Programmer,2013,390593.35,130197.78,130197.79,130197.78333333333,0.0057735026951728635,130197.78,130197.78
1039,Ct Comp Facilities Coord,2012,67027.44,7755.26,59272.18,33513.72,36427.963477844874,7755.26,33513.72
1040,Ct Comp Facilities Coord,2013,9914.16,234.19,9679.97,4957.08,6679.175091596267,234.19,4957.08
1041,Ct Comp Sys Engineer II,2012,324519.64,14905.57,104825.52,81129.91,44209.023548801284,14905.57,102394.275
1042,Ct Comp Sys Engineer II,2013,355428.59,118472.97,118477.82,118476.19666666667,2.7943931959074355,118472.97,118477.8
1043,Curator 1,2012,171028.02000000002,25677.0,58799.01,42757.005000000005,18075.54538753119,25677.0,43276.005000000005
1044,Curator 1,2013,123876.46,28900.25,62900.51,41292.153333333335,18780.619772814563,28900.25,32075.7
1045,Curator 1,2014,107946.06999999999,21978.05,62259.02,35982.02333333333,22772.998536438572,21978.05,23709.0
1046,Curator 2,2012,664178.16,59248.11,71864.04,66417.816,3739.839414134724,59248.11,66455.925
1047,Curator 2,2013,473279.96,46033.23,76882.59,67611.42285714285,10535.115409223436,46033.23,69729.5
1048,Curator 2,2014,472594.05,18708.92,76409.2,59074.25625,20228.867948115232,18708.92,67170.05
1049,Curator 3,2012,469046.39999999997,19648.71,77088.99,67006.62857142856,20971.988759401138,75790.04,75789.68
1050,Curator 3,2013,503483.64,26378.68,81104.76,71926.2342857143,20310.8438477872,81065.54,81065.52
1051,Curator 3,2014,478065.17,76740.05,80265.06,79677.52833333334,1439.0646095629786,80265.01,80265.01
1052,Curator 4,2012,452705.35,75891.36,96270.47,90541.06999999999,8480.042503967768,95024.5,95024.5
1053,Curator 4,2013,502767.03,96687.03,101520.0,100553.406,2161.369890643433,101520.0,101520.0
1054,Curator 4,2014,379378.09,26769.2,100943.0,75875.618,32269.710782415143,100943.0,91119.31
1055,Custodial Assistant Supervisor,2012,2634112.39,6228.62,79992.53,53757.39571428572,17027.952537983685,6228.62,60725.65
1056,Custodial Assistant Supervisor,2013,3018663.06,3844.74,103572.8,56955.90679245283,18543.41510314093,3844.74,62753.18
1057,Custodial Assistant Supervisor,2014,3408668.5100000002,1369.48,94584.02,54978.524354838715,19676.431435754217,1369.48,62202.785
1058,Custodial Supervisor,2012,784240.4,48794.29,75762.28,65353.36666666667,6550.20907162002,48794.29,66626.93
1059,Custodial Supervisor,2013,796951.3300000001,66744.0,75915.53,72450.12090909091,2936.314308804341,66744.0,73299.21
1060,Custodial Supervisor,2014,615761.14,47881.2,75668.07,68417.90444444444,8133.101423050604,47881.2,70947.35
1061,Custodian,2012,36002256.83,0.0,67582.13,43639.09918787878,17109.231924838135,5034.0,51962.28
1062,Custodian,2013,38618555.36,0.0,74387.22,48946.20451204056,16684.228592845935,58138.8,55977.3
1063,Custodian,2014,39195759.38,0.0,83846.77,48750.94450248757,17244.65906627942,55327.0,56277.55
1064,Customer Service Agent,2012,4064788.56,4096.57,78583.07,58909.97913043478,18549.44885072068,4096.57,66791.51
1065,Customer Service Agent,2013,4479272.61,0.0,82600.44,63989.60871428572,22153.902273966956,0.0,72269.93
1066,Customer Service Agent,2014,4402053.54,153.62,82016.94,65702.29164179105,18462.87855872586,153.62,72707.09
1067,Customer Service Agent Supv,2012,550190.85,76130.18,80855.16,78598.69285714286,1859.2743876910283,76130.18,78162.85
1068,Customer Service Agent Supv,2013,582402.15,80498.78,86792.05,83200.30714285714,2282.778000738821,80498.78,82141.35
1069,Customer Service Agent Supv,2014,662800.97,76398.18,86728.51,82850.12125,3346.866019139347,76398.18,83147.875
1070,Customer Service Agent Trainee,2012,78591.79999999999,23441.12,30829.01,26197.266666666663,4035.297610466088,23441.12,24321.67
1071,Customer Service Agent Trainee,2013,198028.42,424.8,27774.64,12376.77625,6763.199106869347,424.8,13391.880000000001
1072,Customer Service Agent Trainee,2014,239372.86,3743.66,30301.34,17098.06142857143,8973.35444465091,3743.66,12461.895
1073,DA Investigative Assist,2012,1637148.42,2178.0,71487.0,54571.613999999994,22290.249657792403,70447.0,62686.1
1074,DA Investigative Assist,2013,1922077.88,8796.0,76410.52,56531.702352941174,23709.215422506208,75370.51,67110.61499999999
1075,DA Investigative Assist,2014,1859922.34,2946.0,75654.01,58122.573125,22084.046787893745,74614.01,65410.975000000006
1076,DENTAL AIDE,2011,839839.18,537.92,63144.81,46657.73222222223,21613.883197252027,537.92,53325.09
1077,DENTAL HYGIENIST,2011,245250.97999999998,3991.35,83311.4,49050.195999999996,39540.785572778266,3991.35,66645.36
1078,DENTIST,2011,940939.01,1780.2,147167.58,49523.10578947369,38211.9830916192,1780.2,54468.0
1079,DEPARTMENT HEAD I,2011,1475860.3599999999,3783.0,177205.08,122988.36333333333,41825.061185430946,3783.0,132242.14
1080,DEPARTMENT HEAD II,2011,1135767.15,144906.98,171991.61,162252.44999999998,8374.910898113067,144906.98,163929.74
1081,DEPARTMENT HEAD III,2011,1442022.19,161636.03,192022.73,180252.77375,11400.894402793821,174229.38,181042.555
1082,DEPARTMENT HEAD IV,2011,826441.3300000001,200515.38,215799.48,206610.33250000002,6838.082354799854,200515.38,205063.235
1083,DEPARTMENT HEAD V,2011,1636838.26,63713.64,292671.62,233834.03714285715,77558.65494466212,63713.64,248895.77
1084,DEPUTY CHIEF III (POLICE DEPARTMENT),2011,1250132.44,236200.92,264074.6,250026.48799999998,11894.729874047987,236200.92,248718.64
1085,"DEPUTY CHIEF OF DEPARTMENT,(FIRE DEPARTMENT)",2011,838078.68,250339.35,326373.19,279359.56,41086.59852991851,250339.35,261366.14
1086,DEPUTY COURT CLERK I,2011,90607.64,45257.93,45349.71,45303.82,64.8982603773005,45257.93,45303.82
1087,DEPUTY COURT CLERK II,2011,9639324.68,675.88,80162.3,59502.00419753086,18137.05731686888,71196.2,66458.8
1088,DEPUTY COURT CLERK III,2011,7967237.15,3278.92,88499.23,76608.04951923077,18470.4463101526,83693.0,83693.0
1089,DEPUTY DIRECTOR I,2011,577698.08,49455.65,111825.63,96283.01333333332,23369.04894494311,49455.65,106001.565
1090,DEPUTY DIRECTOR I - MUNICIPAL TRANSPORTATION AGE,2011,856039.06,141078.06,186541.05,171207.812,17590.394631996463,141078.06,174238.39
1091,DEPUTY DIRECTOR II,2011,3058075.79,12867.07,158503.34,95564.8684375,46442.39833709283,123290.7,115366.935
1092,DEPUTY DIRECTOR II - MUNICIPAL TRANSPORTATION AG,2011,1004607.44,153733.66,224035.85,200921.48799999998,28566.460807553147,153733.66,210821.61
1093,DEPUTY DIRECTOR III,2011,3985658.27,5281.75,194076.53,147616.97296296296,36608.12910239385,163622.34,160598.71
1094,DEPUTY DIRECTOR IV,2011,3722365.12,7279.19,199753.78,161841.96173913043,52768.947177214824,7279.19,174379.35
1095,DEPUTY DIRECTOR OF INVESTMENTS,2011,307899.46,307899.46,307899.46,307899.46,,307899.46,307899.46
1096,DEPUTY DIRECTOR V,2011,2979461.77,135319.59,219804.34,186216.360625,20356.6484768256,185724.5,185724.5
1097,DEPUTY PROBATION OFFICER,2011,9310175.09,5071.17,101170.95,68457.16977941176,22370.312768538886,81958.0,81429.63500000001
1098,DEPUTY SEALER OF WEIGHTS AND MEASURES,2011,59114.62,59114.62,59114.62,59114.62,,59114.62,59114.62
1099,DEPUTY SHERIFF,2011,64951787.99,1185.28,212705.52,94820.12845255475,22205.659698701143,1185.28,94711.67
1100,DIAGNOSTIC IMAGING TECH I,2011,2427074.93,1591.27,152676.06,69344.998,39484.82336496093,1591.27,72667.74
1101,DIAGNOSTIC IMAGING TECH II,2011,3187922.3,27774.13,188594.67,113854.36785714285,34373.73964112476,27774.13,113087.13500000001
1102,DIAGNOSTIC IMAGING TECH III,2011,1032787.99,15246.08,188530.21,103278.799,57343.73164862096,15246.08,110039.95000000001
1103,DIAGNOSTIC IMAGING TECH IV,2011,541425.83,63821.77,114708.31,90237.63833333332,21603.857142882065,63821.77,92770.52
1104,DIETETIC TECHNICIAN,2011,250313.41999999998,43578.02,52020.19,50062.683999999994,3633.15414764224,43578.02,51676.52
1105,DIETITIAN,2011,1086850.67,11434.95,74988.42,57202.66684210526,20570.373943610168,11434.95,63419.25
1106,"DIRECTOR OF ACTIVITIES, THERAPY AND VOLUNTEER SERV",2011,154281.76,77122.76,77159.0,77140.88,25.62554975020933,77122.76,77140.88
1107,"DIRECTOR, EMPLOYEE RELATIONS DIVISION",2011,186341.79,186341.79,186341.79,186341.79,,186341.79,186341.79
1108,"DIRECTOR, FISCAL SERVICES",2011,131788.26,131788.26,131788.26,131788.26,,131788.26,131788.26
1109,"DIRECTOR, HUMAN RESOURCES",2011,124332.41,124332.41,124332.41,124332.41,,124332.41,124332.41
1110,"DIRECTOR, INFORMATION TECHNOLOGY GROUP",2011,166226.24,166226.24,166226.24,166226.24,,166226.24,166226.24
1111,"DIRECTOR, JUVENILE HALL",2011,119203.65,119203.65,119203.65,119203.65,,119203.65,119203.65
1112,"DIRECTOR, PROBATE",2011,121955.89,5957.53,115998.36,60977.945,77810.61710039608,5957.53,60977.945
1113,"DIRECTOR, PROBATION SERVICES",2011,108645.16,108645.16,108645.16,108645.16,,108645.16,108645.16
1114,DISABILITY ACCESS COORDINATOR,2011,137926.07,137926.07,137926.07,137926.07,,137926.07,137926.07
1115,DISEASE CONTROL INVESTIGATOR,2011,468112.39,6331.65,66183.98,52012.48777777778,23475.503189043033,6331.65,65499.0
1116,DISTRICT ATTORNEY,2011,247978.18999999997,13130.08,234848.11,123989.09499999999,156778.32252432237,13130.08,123989.09499999999
1117,DISTRICT ATTORNEY'S INVESTIGATIVE ASSISTANT,2011,1525660.93,1230.79,69890.0,50855.36433333333,22376.619555480866,68850.0,63223.515
1118,DISTRICT ATTORNEY'S INVESTIGATOR,2011,1851787.92,2495.89,131698.46,80512.51826086956,35343.5401685402,2495.89,101392.24
1119,DIVISION DIRECTOR ADULT PROBATION,2011,207287.97,90787.34,116500.63,103643.985,18182.041725616247,90787.34,103643.985
1120,DOCUMENT EXAMINER TECHNICIAN,2011,622256.13,57200.72,67234.2,62225.613,2740.8625053319292,61741.22,61741.215
1121,Dental Aide,2012,911969.57,200.9,66876.5,53645.26882352941,20404.192157079782,200.9,61125.95
1122,Dental Aide,2013,901363.56,10467.4,71437.01,53021.385882352944,21262.742196277577,10467.4,55999.71
1123,Dental Aide,2014,986421.2,250.0,70996.0,51916.90526315789,25226.412689226778,250.0,65212.23
1124,Dental Hygienist,2012,259578.3,13492.01,88524.52,64894.575,35180.60158617577,13492.01,78780.885
1125,Dental Hygienist,2013,290297.37,27503.84,94581.01,72574.3425,31220.324346219695,27503.84,84106.26
1126,Dental Hygienist,2014,292767.98,30336.22,93964.0,73191.995,29858.406011746512,30336.22,84233.88
1127,Dentist,2012,971551.71,1186.8,148539.61,57150.10058823529,39645.657632627226,1186.8,58792.0
1128,Dentist,2013,970909.99,6846.3,165255.79,64727.33266666667,43337.19123795429,6846.3,63850.15
1129,Dentist,2014,887455.25,6074.2,115921.53,63389.66071428572,33460.15318784613,6074.2,64540.265
1130,Dep Chf of Dept (Fire Dept),2012,672761.82,107699.79,288538.97,224253.93999999997,101117.49569164033,107699.79,276523.06
1131,Dep Chf of Dept (Fire Dept),2013,585929.56,290992.51,294937.05,292964.78,2789.21098266159,290992.51,292964.78
1132,Dep Chf of Dept (Fire Dept),2014,571151.5700000001,283661.73,287489.84,285575.78500000003,2706.882540128086,283661.73,285575.78500000003
1133,Dep Dir I,2012,686072.21,107367.18,120139.51,114345.36833333333,4219.067976828145,107367.18,114405.07
1134,Dep Dir I,2013,721227.11,107996.49,127832.53,120204.51833333333,7017.52590997259,107996.49,121188.06
1135,Dep Dir I,2014,832048.12,21539.33,126452.72,104006.015,35194.464440884934,21539.33,117378.02
1136,Dep Dir II,2012,3472821.35,9033.37,156350.65,112026.49516129032,42136.49252699034,9033.37,129278.16
1137,Dep Dir II,2013,4056397.22,6549.48,162953.54,115897.06342857143,44182.95217598632,6549.48,134811.01
1138,Dep Dir II,2014,3370802.21,3742.1,161285.02,116234.55896551724,42897.12548551072,3742.1,132160.38
1139,Dep Dir III,2012,5268753.28,22501.44,183133.61,154963.3317647059,33460.47065678955,159516.6,163056.435
1140,Dep Dir III,2013,5806386.86,46657.0,191972.5,161288.52388888889,27779.36531662699,46657.0,169605.66499999998
1141,Dep Dir III,2014,6759184.83,30520.0,186411.29,153617.83704545454,36059.40318377244,173019.41,165371.455
1142,Dep Dir IV,2012,3545483.52,6678.56,202186.36,168832.54857142858,50736.163918679675,6678.56,182043.27
1143,Dep Dir IV,2013,4056747.9299999997,6724.73,220097.03,150249.9233333333,67559.03456835159,192196.08,189324.75
1144,Dep Dir IV,2014,4693859.9399999995,74892.82,227992.03,180533.0746153846,36493.10691618396,187571.0,187682.845
1145,Dep Dir V,2012,3082041.0,18092.26,229939.41,181296.5294117647,50534.089151086344,192920.29,193080.02
1146,Dep Dir V,2013,3169679.29,68632.25,252855.61,198104.955625,46025.07953551844,207470.51,207470.51
1147,Dep Dir V,2014,3252513.19,21804.98,254578.48,191324.30529411766,52210.46073417749,199916.01,202737.86
1148,"Dep Dir for Investments, Ret",2012,241613.08,241613.08,241613.08,241613.08,,241613.08,241613.08
1149,"Dep Dir for Investments, Ret",2013,315572.01,315572.01,315572.01,315572.01,,315572.01,315572.01
1150,Dept Head I,2012,1637256.53,101439.14,182672.54,136438.04416666666,19756.05933019193,101439.14,138287.12
1151,Dept Head I,2013,1628677.1400000001,127262.52,189026.0,148061.5581818182,17089.017533116297,127262.52,144123.26
1152,Dept Head I,2014,1491088.97,132774.29,187210.93,149108.897,15514.407824906246,132774.29,146470.34999999998
1153,Dept Head II,2012,1198725.49,162180.35,178956.44,171246.49857142856,4959.71464789197,162180.35,170720.9
1154,Dept Head II,2013,1261216.25,173634.45,190081.38,180173.75,5068.683724965826,173634.45,178437.37
1155,Dept Head II,2014,1247122.27,54141.36,211195.49,155890.28375,52923.701842652124,54141.36,176477.115
1156,Dept Head III,2012,1184601.21,44721.9,206425.28,169228.7442857143,55983.830398179205,44721.9,181158.69
1157,Dept Head III,2013,1452795.27,102224.5,203422.79,181599.40875,32617.187705909393,189487.0,189487.01
1158,Dept Head III,2014,1551574.35,187544.95,217248.49,193946.79375,10707.14726301072,187571.0,187571.0
1159,Dept Head IV,2012,1071903.8599999999,209404.99,223650.24,214380.77199999997,6374.200292732436,209404.99,211051.0
1160,Dept Head IV,2013,1268658.95,141610.79,234775.53,211443.15833333333,34603.73698528841,221340.0,221763.10499999998
1161,Dept Head IV,2014,1254495.92,137592.94,232489.33,209082.65333333332,35441.22645180761,137592.94,219198.47999999998
1162,Dept Head V,2012,1660267.3,65154.51,293022.46,237181.04285714286,78347.3523054212,65154.51,259921.69
1163,Dept Head V,2013,1708092.85,270641.5,312857.6,284682.14166666666,18532.067630284997,270641.5,273641.55
1164,Dept Head V,2014,1397044.32,267914.0,311298.55,279408.864,18841.9812099718,267914.0,267914.01
1165,Depty Sealer of Weights & Meas,2012,71264.12,71264.12,71264.12,71264.12,,71264.12,71264.12
1166,Depty Sealer of Weights & Meas,2013,82301.75,82301.75,82301.75,82301.75,,82301.75,82301.75
1167,Depty Sealer of Weights & Meas,2014,85388.51,85388.51,85388.51,85388.51,,85388.51,85388.51
1168,Deputy Chief 3,2012,1582854.42,240290.13,286284.37,263809.07,19247.180598750547,240290.13,269755.26
1169,Deputy Chief 3,2013,1787182.15,149934.11,296551.86,255311.7357142857,56242.31145096484,149934.11,282500.39
1170,Deputy Chief 3,2014,2263350.2,209110.8,471952.64,282918.775,79762.3024883997,209110.8,268864.585
1171,Deputy Court Clerk I,2013,906040.43,13879.5,50540.02,29227.11064516129,10813.163135261557,13879.5,23562.05
1172,Deputy Court Clerk II,2012,9316325.67,0.0,74841.91,62525.67563758389,18504.356107546402,72617.1,70322.82
1173,Deputy Court Clerk II,2013,10009198.17,0.0,84639.36,72008.61992805755,19498.304156047372,80218.51,79570.54
1174,Deputy Court Clerk III,2012,7808412.85,1254.62,89881.5,78872.85707070706,16872.963672047983,85360.56,85377.37
1175,Deputy Court Clerk III,2013,8808560.97,164.75,99062.53,88085.6097,16644.408579527335,94375.5,93775.78
1176,"Deputy Dir I, MTA",2012,827032.16,83780.85,194031.43,165406.432,45936.02524638609,83780.85,181158.75
1177,"Deputy Dir I, MTA",2013,972325.03,187778.66,206556.39,194465.006,7392.615525129113,187778.66,193063.52
1178,"Deputy Dir I, MTA",2014,1216288.25,133174.89,207687.54,173755.4642857143,28600.744113748653,133174.89,186851.7
1179,"Deputy Dir II, MTA",2012,898780.22,2528.47,228212.96,149796.70333333334,86408.14835364051,2528.47,179106.485
1180,"Deputy Dir II, MTA",2013,891631.05,201952.5,248065.1,222907.7625,19536.19689762293,201952.5,220806.725
